State,College,County,City,Probability
Indiana,University of Notre Dame,St. Joseph,Notre Dame,0.13719606251060934
Indiana,Vincennes University,Knox,Vincennes,0.0
Iowa,Iowa State University,Story,Ames,0.048785387591265356
Iowa,University of Iowa,Johnson,Iowa City,0.08095501613505764
Kansas,Fort Hays State University,Ellis,Hays,0.0
Kansas,Johnson County Community College,Johnson,Overland Park,0.05271373607885443
Kansas,Kansas State University,Riley,Manhattan,0.046864943912043336
Kansas,University of Kansas,Douglas,Lawrence,0.07988145814188073
Kansas,Wichita State University,Sedgwick,Wichita,0.021628147531244295
Kentucky,Campbellsville University,Taylor,Campbellsville,0.0
Kentucky,Eastern Kentucky University,Madison,Richmond,0.0
Kentucky,Jefferson Community and Technical College,Jefferson,Louisville,0.0
Kentucky,Northern Kentucky University,Campbell,Highland Heights,0.013874989877226518
Kentucky,University of Kentucky,Fayette,Lexington,0.09763179713843996
Kentucky,University of Louisville,Jefferson,Louisville,0.07628736481698642
Kentucky,University of the Cumberlands,Whitley,Williamsburg,0.012945993218901632
Kentucky,Western Kentucky University,Warren,Bowling Green,0.06311860760247101
Louisiana,Delgado Community College,Orleans,New Orleans,0.0
Louisiana,Louisiana Tech University,Lincoln,Ruston,0.04538396144695076
Louisiana,Southeastern Louisiana University,Tangipahoa,Hammond,0.010697735232317923
Louisiana,Tulane University of Louisiana,Orleans,New Orleans,0.1404474089857824
Louisiana,University of Louisiana at Lafayette,Lafayette,Lafeyette,0.0196304512951527
Maine,University of Maine,Penobscot,Orono,0.006709912941057729
Maryland,Johns Hopkins University,Baltimore City,Baltimore,0.014912663629787784
Maryland,Towson University,Baltimore,Towson,0.029796585118320965
Massachusetts,Boston College,Middlesex,Chestnut Hill,0.030613078882480847
Massachusetts,Boston University,Suffolk,Boston,0.020024942496475583
Massachusetts,Harvard University,Middlesex,Cambridge,0.0
Massachusetts,Northeastern University,Suffolk,Boston,0.0
Massachusetts,Tufts University,Middlesex,Medford,0.028712857378337304
Michigan,Central Michigan University,Isabella,Mount Pleasant,0.005119388028214875
Michigan,Eastern Michigan University,Washtenaw,Ypsilanti,0.019729904426633825
Michigan,Ferris State University,Mecosta,Big Rapids,0.044860668633032674
Michigan,Grand Rapids Community College,Kent,Grand Rapids,0.00776977112268842
Michigan,Grand Valley State University,Ottawa,Allendale,0.09303893634189267
Michigan,Henry Ford College,Wayne,Dearborn,0.0
Michigan,Michigan State University,Ingham,East Lansing,0.029714460898415687
Michigan,Oakland University,Oakland,Rochester,0.0
Michigan,Washtenaw Community College,Washtenaw,Ann Arbor,0.0
Michigan,Wayne State University,Wayne,Detroit,0.0
Michigan,Western Michigan University,Kalamazoo,Kalamazoo,0.05828091668179545
Mississippi,Mississippi State University,Oktibbeha,Mississippi State,0.014583691434531415
Mississippi,University of Mississippi,Lafayette,Oxford,0.08088833481079273
Mississippi,University of Southern Mississippi,Forrest,Hattiesburg,0.0
Missouri,Ozarks Technical Community College,Greene,Springfield,0.009081383457124597
Missouri,Saint Louis University,City of St. Louis,St. Louis,0.016762042805349132
Missouri,University of Central Missouri,Johnson,Warrensburg,0.02988350457097623
Missouri,University of Missouri-Kansas City,Kansas City,Kansas City,0.03205382844387542
Missouri,Webster University,City of St. Louis,Saint Louis,0.022262737341177567
Montana,Montana State University,Gallatin,Bozeman,0.014647433707879489
Nebraska,University of Nebraska at Omaha,Douglas,Omaha,0.03907254066578132
Nebraska,University of Nebraska-Lincoln,Lancaster,Lincoln,0.04609455772793817
Nevada,College of Southern Nevada,Clark,Las Vegas,0.0025695712169526027
New Hampshire,Southern New Hampshire University,Hillsborough,Manchester,0.016506335065805743
New Jersey,Kean University,Union,Union,0.003070462795043956
New Jersey,Montclair State University,Essex,Montclair,0.03499613329766659
New Jersey,New Jersey Institute of Technology,Essex,Newark,0.0
New Jersey,Rowan University,Gloucester,Glassboro,0.038890058391759436
New Jersey,Rutgers University-Newark,Essex,Newark,0.0
New York,CUNY Borough of Manhattan Community College,New York City,New York City,0.0
New York,CUNY Brooklyn College,New York City,New York City,0.0
New York,CUNY Hunter College,New York City,New York City,0.03977027510831561
New York,CUNY John Jay College of Criminal Justice,New York City,New York City,0.01956224557326514
New York,CUNY Kingsborough Community College,New York City,New York City,0.026077657442668937
New York,CUNY LaGuardia Community College,New York City,New York City,0.0
New York,CUNY Lehman College,New York City,New York City,0.0
New York,CUNY New York City College of Technology,New York City,New York City,0.0
New York,CUNY Queens College,New York City,New York City,0.022586004190491452
New York,CUNY Queensborough Community College,New York City,New York City,0.0
New York,Cornell University,Tompkins,Ithaca,0.0444901974381049
New York,Excelsior College,Albany,Albany,0.0
New York,Fordham University,New York City,New York City,0.022304961060351635
New York,Long Island University,Nassau,Brookville,0.0
New York,Monroe Community College,Monroe,Rochester,0.0
New York,Nassau Community College,Nassau,Garden City,0.001868585889054539
New York,New York University,New York City,New York City,0.022551359710260285
New York,Pace University,New York City,New York City,0.0
New York,Rochester Institute of Technology,Monroe,Rochester,0.0
New York,SUNY Westchester Community College,Westchester,Valhalla,0.009106869009351669
New York,Stony Brook University,Suffolk,Stony Brook,0.011952503598558935
New York,Suffolk County Community College,Suffolk,Selden,0.017815967778402567
New York,Syracuse University,Onondaga,Syracuse,0.009161173347973051
New York,Touro College,New York City,New York City,0.0
North Carolina,Appalachian State University,Watauga,Boone,0.037115962842458355
North Carolina,Duke University,Durham,Durham,0.01827264482746325
North Carolina,East Carolina University,Pitt,Greenville,0.06882484035172459
North Carolina,University of North Carolina Wilmington,New Hanover,Wilmington,0.06502519596207597
North Carolina,University of North Carolina at Chapel Hill,Orange,Chapel Hill,0.01435459777318599
North Carolina,University of North Carolina at Charlotte,Mecklenburg,Charlotte,0.009934774693438316
North Carolina,University of North Carolina at Greensboro,Guilford,Greensboro,0.0023311189642001447
North Carolina,Wake Technical Community College,Wake,Raleigh,0.0
North Carolina,Western Carolina University,Jackson,Cullowhee,0.0
North Dakota,University of North Dakota,Grand Forks,Grand Forks,0.13114037433305592
Ohio,Case Western Reserve University,Cuyahoga,Cleveland,0.0
Ohio,Cleveland State University,Cuyahoga,Cleveland,0.03486918834050495
Ohio,Cuyahoga Community College District,Cuyahoga,Cleveland,0.002645624263421613
Ohio,Sinclair Community College,Montgomery,Dayton,0.00581982610553757
Ohio,University of Dayton,Montgomery,Dayton,0.17513564869417117
Ohio,University of Toledo,Lucas,Toledo,0.021435301042003186
Ohio,Youngstown State University,Mahoning,Youngstown,0.008598235676457658
Oklahoma,University of Central Oklahoma,Oklahoma,Edmond,0.06477715483175106
Oregon,Oregon State University,Benton,Corvallis,0.0019139546885582873
Oregon,Portland State University,Multnomah,Portland,0.016030664279519415
Oregon,University of Oregon,Lane,Eugene,0.0
Pennsylvania,Carnegie Mellon University,Allegheny,Pittsburgh,0.0
Pennsylvania,Community College of Allegheny County,Allegheny,Pittsburgh,0.002822312382615675
Pennsylvania,Drexel University,Philadelphia,Philadelphia,0.002320461533749456
Pennsylvania,Temple University,Philadelphia,Philadelphia,0.016008967019933828
Pennsylvania,University of Pennsylvania,Philadelphia,Philadelphia,0.0
Rhode Island,University of Rhode Island,Washington,Kingston,0.047267009338669154
South Carolina,Clemson University,Pickens,Clemson,0.21783314577048402
Tennessee,East Tennessee State University,Washington,Johnson City,0.012688934762052064
Tennessee,Middle Tennessee State University,Rutherford,Murfreesboro,0.019664316316516266
Tennessee,University of Memphis,Shelby,Memphis,0.0
Tennessee,Vanderbilt University,Davidson,Nashville,0.11696925061929715
Texas,Austin Community College District,Travis,Austin,0.01794874558333641
Texas,Baylor University,McLennan,Waco,0.09366943828744251
Texas,Blinn College,Washington,Brenham,0.06349944197947219
Texas,Lamar University,Jefferson,Beaumont,0.00665559940104251
Texas,Sam Houston State University,Walker,Huntsville,0.05598503594203834
Texas,South Texas College,Hidalgo,McAllen,0.0
Texas,Southern Methodist University,Dallas,Dallas,0.0926317384111607
Texas,Tarleton State University,Erath,Stephenville,0.01968514824221744
Texas,Texas State University,Hays,San Marcos,0.050726073247464455
Texas,Texas Tech University,Lubbock,Lubbock,0.04109498999808728
Texas,University of Houston,Harris,Houston,0.0
Texas,University of Houston-Downtown,Harris,Houston,0.01949940305309221
Texas,University of North Texas,Denton,Denton,0.0033765147684525075
Utah,Salt Lake Community College,Salt Lake,Salt Lake City,0.006003403655958963
Utah,University of Utah,Salt Lake,Salt Lake City,0.05407449418932098
Utah,Utah State University,Cache,Logan,0.052706460711978126
Utah,Utah Valley University,Utah,Orem,0.02701003800135591
Utah,Weber State University,Weber,Ogden,0.02903933572864297
Vermont,University of Vermont,Chittenden,Burlington,0.043302972254624164
Virginia,George Mason University,Fairfax,Fairfax,0.0
Virginia,James Madison University,Rockingham,Harrisonburg,0.07199873279114202
Virginia,Liberty University,Campbell,Lynchburg,0.02206910344641553
Virginia,Old Dominion University,Norfolk,Norfolk,0.0
Virginia,Virginia Commonwealth University,Richmond,Richmond,0.059647973533148796
"""Washington, D.C.""",American University,"""Washington, D.C.""",Washington,0.012408852250514744
"""Washington, D.C.""",George Washington University,"""Washington, D.C.""",Washington,0.037319428002522706
"""Washington, D.C.""",Georgetown University,"""Washington, D.C.""",Washington,0.05591389493877137
Washington,Bellevue College,King,Bellevue,0.029099635899725928
Washington,Central Washington University,Kittitas,Ellensburg,0.0692683433638892
Washington,Eastern Washington University,Spokane,Cheney,0.028738970702272066
Washington,Washington State University,Whitman,Pullman,0.05726553397154208
Washington,Western Washington University,Whatcom,Bellingham,0.0
West Virginia,Marshall University,Cabell,Huntington,0.02665829614344999
West Virginia,West Virginia University,Monongalia,Morgantown,0.0
Wisconsin,Madison Area Technical College,Dane,Madison,
Wisconsin,Marquette University,Milwaukee,Milwaukee,0.057992501986724454
Wisconsin,University of Wisconsin-Eau Claire,Eau Claire,Eau Claire,0.08028471629159949
Wisconsin,University of Wisconsin-Madison,Dane,Madison,0.11437647544522407
Wisconsin,University of Wisconsin-Milwaukee,Milwaukee,Milwaukee,0.06940942994197039
Wisconsin,University of Wisconsin-Oshkosh,Winnebago,Oshkosh,0.1115617719383093
Wisconsin,University of Wisconsin-Whitewater,Walworth,Whitewater,0.05774488266169083
Wyoming,University of Wyoming,Albany,Laramie,0.13301683258602023
